LM.Name	A_ml_euclid_1to2	A_ml_euclid_1to3	A_ml_euclid_2to3	J_ml_euclid_1to2	J_ml_euclid_1to3	J_ml_euclid_2to3	Avg_1to2	Avg_1to3	Avg_2to3
Alar curvature left	1.52042035225631	1.61843665523512	1.77709953586999	1.21827824087421	1.18650142413045	1.11677992466517	1.36934929656526	1.40246903968279	1.44693973026758
Alar curvature right	1.62139956821449	1.62473642811004	1.85710145244867	0.96480108253757	0.997519782064172	1.04383012061147	1.29310032537603	1.31112810508711	1.45046578653007
Chelion left	1.65159428715095	1.49009766459693	1.38552623337751	1.24703900063848	1.35777407262762	0.896201545833317	1.44931664389471	1.42393586861228	1.14086388960542
Chelion right	1.6300772279216	1.54796890445601	1.30094503318226	1.44925084734616	1.29877688946985	0.953689291011658	1.53966403763388	1.42337289696293	1.12731716209696
Crista philtri left	1.18933882123015	1.38677232210407	1.2741476560876	0.81240068942005	0.836775370732871	0.718931917079662	1.0008697553251	1.11177384641847	0.99653978658363
Crista philtri right	1.35152480310033	1.42041972836184	1.32271000738275	0.839273584889927	0.818568527465405	0.6270322324033	1.09539919399513	1.11949412791362	0.974871119893023
Endocanthion left	1.81730419851426	2.29988478562391	1.36652391653873	1.14559252098622	1.17341012482971	0.984929822145239	1.48144835975024	1.73664745522681	1.17572686934198
Endocanthion right	2.17597892613855	2.45916008399062	1.29166586681862	1.26764944588155	1.14933074720923	0.948564945515203	1.72181418601005	1.80424541559992	1.12011540616691
Exocanthion left	1.56752900141821	1.30224738839053	1.59657889582508	1.21014832543809	1.28978492044254	0.742156495384916	1.38883866342815	1.29601615441654	1.169367695605
Exocanthion right	1.73103371699874	1.54740655468134	1.57519206036203	0.989295429431687	0.9771538848363	0.648304642702038	1.36016457321521	1.26228021975882	1.11174835153203
Glabella	1.59559258094216	1.4930161263575	1.5755764718731	2.14315709579573	1.97392773826272	1.45125608355881	1.86937483836895	1.73347193231011	1.51341627771596
Labiale inferius	1.13578523336635	1.38044201855668	1.45259970280572	0.826248245827831	0.943793409143691	0.806800245308478	0.981016739597092	1.16211771385018	1.1296999740571
Labiale superius	0.907446740730811	1.22552997762948	1.19717670064672	0.835863877318091	0.817360239773419	0.467932133127064	0.871655309024451	1.02144510870145	0.832554416886891
Nasion	1.27281045810447	1.64666275274455	1.48362490540693	1.62990172586407	1.59175780133527	1.04654369391783	1.45135609198427	1.61921027703991	1.26508429966238
Pogonion	1.72962550495608	2.56188330731865	2.25734973757255	2.25604248311943	2.17127302103732	1.50961046501255	1.99283399403775	2.36657816417798	1.88348010129255
Pronasale	1.19234755136944	1.37873523623589	1.18550397824331	0.878525104103098	0.841371185543621	0.769386200208239	1.03543632773627	1.11005321088976	0.977445089225774
Subalare left	1.28251311839915	1.10679890181082	1.303537456359	1.10807064290869	1.1574478460205	0.907391838946258	1.19529188065392	1.13212337391566	1.10546464765263
Subalare right	1.18934322355426	1.22977149263231	1.17761156941284	1.33181255592643	1.20402881116384	1.10083291970145	1.26057788974035	1.21690015189807	1.13922224455715
Subnasale	1.14360881168162	1.14684645477357	1.19997725856909	1.45409700742197	1.23254347424977	0.982418115683794	1.29885290955179	1.18969496451167	1.09119768712644
