LM.Name	A_ml_sdx	A_ml_sdy	A_ml_sdz	J_ml_sdx	J_ml_sdy	J_ml_sdz	Avg_sdx	Avg_sdy	Avg_sdz
Alar curvature left	0.206850336435059	0.679486963624247	0.679486963624247	0.147146883171029	0.547178227543088	0.60738397251209	0.176998609803044	0.613332595583667	0.643435468068169
Alar curvature right	0.20762690977357	0.75026770139738	0.75026770139738	0.132686489544103	0.461172481262467	0.53794709286438	0.170156699658837	0.605720091329923	0.64410739713088
Chelion left	0.860127284157447	0.538553845243796	0.538553845243796	0.670336534608808	0.352722613775448	0.318399187269795	0.765231909383128	0.445638229509622	0.428476516256796
Chelion right	0.807411502028776	0.491723952497579	0.491723952497579	0.741165384457825	0.346466685122104	0.392419505511284	0.7742884432433	0.419095318809842	0.442071729004432
Crista philtri left	0.546095635037352	0.667595130838948	0.667595130838948	0.432702091172707	0.298378525241797	0.181241537770161	0.489398863105029	0.482986828040373	0.424418334304554
Crista philtri right	0.551766212164378	0.714631510492422	0.714631510492422	0.465435027303444	0.251996674267971	0.167130305774051	0.508600619733911	0.483314092380197	0.440880908133237
Endocanthion left	0.921869793409127	0.626936094498245	0.626936094498245	0.550594428481954	0.386067208360158	0.374866294917737	0.736232110945541	0.506501651429201	0.500901194707991
Endocanthion right	1.18791946909194	0.5002521539442	0.5002521539442	0.5617166994085	0.364702092177862	0.412074085081688	0.874818084250221	0.432477123061031	0.456163119512944
Exocanthion left	0.689933356110692	0.50577255518821	0.50577255518821	0.503221399682647	0.403897444254991	0.406930834217127	0.59657737789667	0.454834999721601	0.456351694702669
Exocanthion right	0.740209616964595	0.589684427523106	0.589684427523106	0.434633940285846	0.288194568348388	0.350730509000034	0.587421778625221	0.438939497935747	0.47020746826157
Glabella	0.562668551029062	0.865787361042285	0.865787361042285	0.453243275157772	1.16957091056699	0.4414071514195	0.507955913093417	1.01767913580464	0.653597256230893
Labiale inferius	0.521362457880183	0.609976192549736	0.609976192549736	0.418294540192306	0.33551776414546	0.198674432904422	0.469828499036244	0.472746978347598	0.404325312727079
Labiale superius	0.467331996364818	0.586115223328518	0.586115223328518	0.296765930083107	0.375703980513367	0.127447295964888	0.382048963223963	0.480909601920942	0.356781259646703
Nasion	0.330201254242147	0.932092153929118	0.932092153929118	0.313187363094592	0.847823510529306	0.459474473465004	0.321694308668369	0.889957832229212	0.695783313697061
Pogonion	0.646420608062098	1.27415859511519	1.27415859511519	0.62197635846849	1.15580974463514	0.4999839720493	0.634198483265294	1.21498416987517	0.887071283582245
Pronasale	0.418517365962156	0.710411863607249	0.710411863607249	0.299413918644004	0.442267047434209	0.205287572720146	0.35896564230308	0.576339455520729	0.457849718163698
Subalare left	0.552379005612478	0.362951113497515	0.362951113497515	0.515667556821287	0.30753712867611	0.455317551645987	0.534023281216883	0.335244121086812	0.409134332571751
Subalare right	0.576711197932465	0.314401024345049	0.314401024345049	0.64216348660369	0.321434838182277	0.490892482128526	0.609437342268077	0.317917931263663	0.402646753236787
Subnasale	0.37653471582807	0.652707781244143	0.652707781244143	0.334217139564648	0.719610121415138	0.354622869280962	0.355375927696359	0.68615895132964	0.503665325262552
