LM.Name	AJ_ml_sdx	AJ_ml_sdy	AJ_ml_sdz
Alar curvature left	0.122220245268504	0.375169012522229	0.422654394738497
Alar curvature right	0.12187531513134	0.336881767297005	0.527283203011626
Chelion left	0.59483202153961	0.296524941248798	0.363096457721482
Chelion right	0.426908533096854	0.271230064523425	0.197127573389323
Crista philtri left	0.516877810540508	0.458412152291181	0.188964226809771
Crista philtri right	0.653585121569907	0.569767098239014	0.197644968595069
Endocanthion left	0.588163372221103	0.328603444005065	0.391725659106109
Endocanthion right	0.482844703673643	0.268873041919471	0.330615536471857
Exocanthion left	0.36349887621484	0.270482715892903	0.249844396019246
Exocanthion right	0.352403623469394	0.237369422725143	0.266803461096486
Glabella	0.417537931037227	0.691297483233189	0.253638627528053
Labiale inferius	0.535504037947373	0.846803486738036	0.374881570741258
Labiale superius	0.375169012522228	0.453353176946106	0.126934290476414
Nasion	0.389138683077377	0.815069914118932	0.277208853567604
Pogonion	0.710958501051548	0.757236627787741	0.32779860701835
Pronasale	0.289626338505515	0.492732700939016	0.214661522028501
Subalare left	0.476406007779912	0.255420766570068	0.46967987010521
Subalare right	0.497906652996479	0.314691261806111	0.472324334490136
Subnasale	0.176604230228055	0.552980498230358	0.314288843312752
