LM.Name	A_ml_loo_sdx	A_ml_loo_sdy	A_ml_loo_sdz	A_ml_loo_avg_sd	J_ml_loo_sdx	J_ml_loo_sdy	J_ml_loo_sdz	J_ml_loo_avg_sd	B_ml_loo_sdx	B_ml_loo_sdy	B_ml_loo_sdz	B_ml_loo_avg_sd
Alar curvature left	0.122913737578146	0.383738219977755	0.419795484971851	0.308815814175918	0.134343004959169	0.458517267409007	0.535704690627808	0.376188320998661	0.113523002680614	0.37000290922588	0.43027545322959	0.304600455045361
Alar curvature right	0.130097564028102	0.371291858559854	0.472485990516575	0.324625137701511	0.128688326251963	0.410101463645682	0.431915826054193	0.323568538650613	0.116858651601769	0.369164300214053	0.400270211023371	0.295431054279731
Chelion left	0.870006439534717	0.494901152892356	0.449984771818026	0.604964121415033	0.888661249325316	0.522580261429576	0.463571276280172	0.624937595678355	0.782116712306341	0.504206212709103	0.429675610016747	0.571999511677397
Chelion right	0.660792254356343	0.494528634994516	0.372546813378615	0.509289234243158	0.816288003556189	0.457652935173797	0.438494530123607	0.570811822951198	0.694500450610131	0.466689349747902	0.391691913154537	0.517627237837523
Crista philtri left	0.4874122254569	0.602104268699358	0.308416421234817	0.465977638463692	0.627868941661618	0.710970135503456	0.359217540368644	0.56601887251124	0.532973244259853	0.631259111022466	0.319224526715407	0.494485627332575
Crista philtri right	0.468386270266333	0.668994224654697	0.354882186662533	0.497420893861188	0.707250938131379	0.797890684938878	0.335561492183071	0.613567705084443	0.534290378047354	0.707425279437848	0.31077393309866	0.517496530194621
Endocanthion left	0.590630719290984	0.449559953709447	0.376365643491924	0.472185438830785	0.589734317574011	0.435782952962172	0.297735996779642	0.441084422438608	0.548059897944412	0.384423543226891	0.282953696464883	0.405145712545395
Endocanthion right	0.742567344311386	0.523184703780419	0.437650588334778	0.567800878808861	0.771075570548335	0.441480428972482	0.318447350092106	0.510334449870974	0.732561687678531	0.460808354920376	0.355251487633996	0.516207176744301
Exocanthion left	0.652672451709728	0.554389672988999	0.642797307606761	0.616619810768496	0.683703667517831	0.528131560193364	0.625678138927926	0.612504455546373	0.642122836654395	0.520548412622346	0.619498635614665	0.594056628297135
Exocanthion right	0.660196549108815	0.475235716809568	0.658595769614972	0.598009345177785	0.695771278845033	0.478235862526566	0.683215305712147	0.619074149027915	0.666172118212337	0.462244512798428	0.66870604682293	0.599040892611232
Glabella	0.369316131631892	1.01405046150012	0.426252327037206	0.603206306723074	0.387191964994146	1.03199529135973	0.419904869684491	0.613030708679454	0.33980569545679	0.923006539300052	0.394802014889592	0.552538083215478
Labiale inferius	0.369385271605867	0.531339617916258	0.394806042649103	0.431843644057076	0.353936996975711	0.50211923833375	0.265272311187463	0.373776182165641	0.322466637238312	0.510280698315565	0.336284550003761	0.389677295185879
Labiale superius	0.404890209751719	0.511101525676803	0.220832895104447	0.37894154351099	0.4178577459247	0.695708122047466	0.259440894254557	0.457668920742241	0.416296236672203	0.569599923382642	0.234718497879735	0.40687155264486
Nasion	0.258570783421573	0.776248724052877	0.363615384977941	0.466144964150797	0.296846901092789	0.734878487667282	0.340212532115588	0.457312640291887	0.250538619256681	0.688173603114165	0.335710371328413	0.424807531233086
Pogonion	0.342140795727967	0.765374201478924	0.317601834574092	0.475038943926995	0.383171085796842	0.793008257678401	0.296817754810422	0.490999032761889	0.30496215265966	0.70775362842631	0.26806184423706	0.426925875107677
Pronasale	0.311061463389142	0.505469803714271	0.230112053477166	0.348881106860193	0.319228668436599	0.404867035715949	0.200570798679156	0.308222167610568	0.281933874633232	0.396405465659878	0.199916610219331	0.292751983504147
Subalare left	0.551929031442239	0.332309220780532	0.384812642126884	0.423016964783218	0.555427739301527	0.313579315222692	0.451755732862812	0.440254262462344	0.514105347975392	0.307550866550813	0.393843507565075	0.405166574030426
Subalare right	0.532571288390561	0.322831176762047	0.537436513794177	0.464279659648928	0.475451687038516	0.35362000116889	0.367749613462462	0.398940433889956	0.461472641263246	0.306081063329877	0.424805488063189	0.397453064218771
Subnasale	0.231949885615293	0.325719951404449	0.234701943506493	0.264123926842078	0.24943833532659	0.482638524275772	0.236107600027961	0.322728153210108	0.229054375468134	0.336015778050778	0.185247795702751	0.250105983073888
