LM.Name	estimate	statistic	p.value	parameter	conf.low	conf.high	method	alternative
Alar curvature left	-0.0050686780761877	-0.101478982528455	0.919677230153641	40	-0.106017468317511	0.0958801121651359	Paired t-test	two.sided
Alar curvature right	-0.0588701889450195	-0.991196934060893	0.327547800459941	40	-0.178907979631073	0.0611676017410339	Paired t-test	two.sided
Chelion left	-0.293888016126995	-1.88655478967596	0.0664941860282207	40	-0.608731687856361	0.0209556556023717	Paired t-test	two.sided
Chelion right	-0.298684023977011	-2.59254382284703	0.0132407940274935	40	-0.531529820070311	-0.0658382278837105	Paired t-test	two.sided
Crista philtri left	-0.297268912883966	-2.86804370285883	0.00656230388906014	40	-0.506750687354142	-0.0877871384137898	Paired t-test	two.sided
Crista philtri right	-0.206456244399427	-1.88969198066846	0.0660619987748886	40	-0.427266640484791	0.0143541516859373	Paired t-test	two.sided
Endocanthion left	-0.165420037926947	-2.49748452254332	0.0167223284786868	40	-0.299285279012494	-0.0315547968414005	Paired t-test	two.sided
Endocanthion right	-0.390685904387259	-5.48513921512685	2.49727583522942e-06	40	-0.534639528120103	-0.246732280654415	Paired t-test	two.sided
Exocanthion left	-0.459121364089506	-6.14040218395486	2.99995998642977e-07	40	-0.610238320654638	-0.308004407524374	Paired t-test	two.sided
Exocanthion right	-0.446514871500666	-5.53999591110802	2.09226198633335e-06	40	-0.609410337973181	-0.283619405028152	Paired t-test	two.sided
Glabella	-0.259382405686193	-2.62922152205021	0.0120853414864452	40	-0.458768951252737	-0.0599958601196491	Paired t-test	two.sided
Labiale inferius	-0.150651122648818	-2.14476161013856	0.0380991782872195	40	-0.292614348337042	-0.00868789696059481	Paired t-test	two.sided
Labiale superius	-0.253640223486058	-3.05091275969888	0.00403897167597316	40	-0.421664042603735	-0.0856164043683817	Paired t-test	two.sided
Nasion	-0.0807224638642849	-0.934558475377424	0.355623689648983	40	-0.255292797834138	0.0938478701055681	Paired t-test	two.sided
Pogonion	0.0131789039051207	0.147414113103427	0.883545718149642	40	-0.167506362879092	0.193864170689333	Paired t-test	two.sided
Pronasale	-0.111661073070315	-2.16256846186323	0.0366096119236547	40	-0.216016357454313	-0.00730578868631623	Paired t-test	two.sided
Subalare left	-0.108374183684683	-1.35116184788614	0.184236911418932	40	-0.270480889059997	0.0537325216906314	Paired t-test	two.sided
Subalare right	-0.130131376348923	-1.62768746697877	0.111443834537554	40	-0.291713576606119	0.0314508239082729	Paired t-test	two.sided
Subnasale	0.0385083968721535	0.690380163285597	0.493941835956715	40	-0.0742242356358006	0.151241029380108	Paired t-test	two.sided
