LM.Name	estimate	statistic	p.value	parameter	conf.low	conf.high	method	alternative
Alar curvature left	-0.0867693594855288	-2.1438006350602	0.0381810651663938	40	-0.168571470288578	-0.00496724868248015	Paired t-test	two.sided
Alar curvature right	-0.0619290127666857	-1.22811754146016	0.226580510450114	40	-0.163843690656474	0.0399856651231031	Paired t-test	two.sided
Chelion left	-0.314258102203124	-2.39858874505472	0.0212118615397495	40	-0.579055190856435	-0.0494610135498134	Paired t-test	two.sided
Chelion right	-0.374062088741341	-3.77526688223224	0.000519780183018797	40	-0.574314867044175	-0.173809310438507	Paired t-test	two.sided
Crista philtri left	-0.279792396062123	-3.114800495465	0.00339748134641447	40	-0.461339023815425	-0.098245768308822	Paired t-test	two.sided
Crista philtri right	-0.280143519617955	-3.53489062704106	0.00104737039533494	40	-0.440315709649072	-0.119971329586839	Paired t-test	two.sided
Endocanthion left	-0.123089923777734	-1.45765220086199	0.152743391276908	40	-0.293757532686594	0.0475776851311255	Paired t-test	two.sided
Endocanthion right	-0.215891780580052	-2.83865966211303	0.00708467266315052	40	-0.369602903658099	-0.0621806575020045	Paired t-test	two.sided
Exocanthion left	-0.45008652906383	-5.8032716828143	8.93491773387997e-07	40	-0.606835834820637	-0.293337223307024	Paired t-test	two.sided
Exocanthion right	-0.474299542831734	-5.64576233408278	1.486910710773e-06	40	-0.64408974598354	-0.304509339679927	Paired t-test	two.sided
Glabella	-0.287941715866491	-3.12161983423458	0.00333500205622397	40	-0.474367977449692	-0.101515454283289	Paired t-test	two.sided
Labiale inferius	-0.0469430329846096	-0.543957760937604	0.589489899304648	40	-0.221359900478138	0.127473834508918	Paired t-test	two.sided
Labiale superius	-0.242611439824629	-3.21415099362305	0.00258768056891705	40	-0.395166814917201	-0.0900560647320562	Paired t-test	two.sided
Nasion	-0.11229831792782	-1.24928698446208	0.218821421044261	40	-0.293972640609114	0.0693760047534753	Paired t-test	two.sided
Pogonion	-0.0183489038821542	-0.223251942540292	0.824475656375728	40	-0.184459521569721	0.147761713805412	Paired t-test	two.sided
Pronasale	-0.0353234859131631	-0.653875126208204	0.516933994257403	40	-0.144505537986195	0.0738585661598684	Paired t-test	two.sided
Subalare left	-0.157655071171858	-2.23945950733344	0.0307528562997619	40	-0.299936181171399	-0.0153739611723173	Paired t-test	two.sided
Subalare right	-0.06522936076171	-0.835638625845643	0.408322169916344	40	-0.222993077855914	0.0925343563324943	Paired t-test	two.sided
Subnasale	-0.0129510073200122	-0.264175782954415	0.793000859667356	40	-0.112032618364843	0.0861306037248188	Paired t-test	two.sided
