LM.Name	ML_Aloo_sdx	ML_Aloo_sdy	ML_Aloo_sdz	ML_Aloo_avg_sd	ML_Jloo_sdx	ML_Jloo_sdy	ML_Jloo_sdz	ML_Jloo_avg_sd	ML_Bloo_sdx	ML_Bloo_sdy	ML_Bloo_sdz	ML_Bloo_avg_sd
Alar curvature left	0.139418162686024	0.446882750923955	0.505334943781444	0.363878619130474	0.140089137710748	0.451673003694458	0.507610030070301	0.366457390491836	0.136503162957953	0.447270215058996	0.507021113054264	0.363598163690404
Alar curvature right	0.14806649824522	0.435211419418613	0.563952849695575	0.382410255786469	0.142375003957805	0.411400924550572	0.587534926640351	0.380436951716242	0.142798880275575	0.417478623332834	0.565120866926348	0.375132790178253
Chelion left	0.900493089220896	0.483162970552133	0.472208730755156	0.618621596842728	0.863528226172564	0.50942266208474	0.496956730196101	0.623302539484468	0.874535191063736	0.504616442915441	0.491106747294802	0.62341946042466
Chelion right	0.716480780506539	0.446853219752397	0.37874884895593	0.514027616404955	0.708979967780038	0.456019623850698	0.384125998414206	0.516375196681648	0.710841994694425	0.45356405226686	0.379676301113095	0.514694116024794
Crista philtri left	0.627421408261395	0.66637767370493	0.31980831329983	0.537869131755385	0.666640655244173	0.725147133788366	0.336608714452249	0.576132167828263	0.618683482228571	0.677205824767898	0.319394357723479	0.538427888239983
Crista philtri right	0.715083843675375	0.770029233575382	0.339971853688254	0.608361643646337	0.743148595857099	0.821691971127453	0.329065860362485	0.631302142449012	0.699605850619665	0.764580759208176	0.321555034404492	0.595247214744111
Endocanthion left	0.69340759413001	0.444310541671819	0.457031557520918	0.531583231107583	0.722835048891069	0.465953968480536	0.39871725540983	0.529168757593812	0.67625147801395	0.443719025006808	0.401918652772319	0.507296385264359
Endocanthion right	0.757417889012631	0.440993455658963	0.410510985524653	0.536307443398749	0.77430289917347	0.474674254640358	0.425435045384997	0.558137399732942	0.744859195074524	0.465030320939809	0.403497284162531	0.537795600058955
Exocanthion left	0.632837772993913	0.499670047660886	0.577433076104354	0.569980298919718	0.632572155007029	0.519955480070543	0.562570719455851	0.571699451511141	0.633665570652865	0.51056791321921	0.56442707766968	0.569553520513918
Exocanthion right	0.633533429583365	0.451643030054863	0.601501881067728	0.562226113568652	0.643755271020402	0.447942892842358	0.597115154660077	0.562937772840945	0.64156583575321	0.448561758955617	0.602381788687633	0.564169794465487
Glabella	0.461270764321644	1.0322077885995	0.398770209510038	0.630749587477059	0.464794908086257	1.00578628048495	0.416227415324092	0.628936201298433	0.446548876731398	1.00953326870812	0.402618612894958	0.619566919444824
Labiale inferius	0.533045235644817	0.842816466911416	0.441016706326391	0.605626136294208	0.531767055033213	0.880039797108852	0.424654733961649	0.612153862034571	0.494778790706317	0.802929563858091	0.415577179362283	0.571095177975564
Labiale superius	0.488671240847212	0.625040873897915	0.2171326867546	0.443614933833242	0.478069573257079	0.695087663169307	0.260275914705766	0.477811050377384	0.474815552340923	0.625862848227726	0.228330485140589	0.443002961903079
Nasion	0.383889926299042	0.932530073975676	0.386674624687179	0.567698208320632	0.39394703853917	0.908051994397374	0.376286532448349	0.559428521794964	0.368062610082891	0.900216689431981	0.374002416858046	0.547427238790973
Pogonion	0.639359464298907	0.87071914021078	0.347790196466217	0.619289600325301	0.649861183196555	0.860695801524498	0.357664693578167	0.622740559433073	0.596067078784901	0.857789800124919	0.351828785167086	0.601895221358969
Pronasale	0.35602566040113	0.565005821340083	0.239913298915678	0.386981593552297	0.362195726161689	0.540715483682337	0.261879149356151	0.388263453066726	0.348230861209798	0.53384097801973	0.246679993103998	0.376250610777842
Subalare left	0.613878160987584	0.342425062617875	0.530348879872071	0.495550701159177	0.610272528083929	0.35109549575162	0.5006472351984	0.487338419677983	0.582532656481977	0.338801302124822	0.493529031227615	0.471620996611472
Subalare right	0.582217682263449	0.372768439743267	0.575153605750595	0.510046575919104	0.597456423261635	0.385721408640482	0.504268162135167	0.495815331345761	0.56957638074571	0.369124085215598	0.5251407398936	0.487947068618303
Subnasale	0.244766679890333	0.526469297173402	0.310877125026508	0.360704367363414	0.25039245680702	0.559154558068743	0.295774404628542	0.368440473168102	0.246168930808676	0.525030034000692	0.299531084305454	0.356910016371607
