LM.Name	AJ_ml_rmsex	AJ_ml_rmsey	AJ_ml_rmsez	AJ_ml_avg_rmse	AJ_auto_rmsex	AJ_auto_rmsey	AJ_auto_rmsez	AJ_auto_avg_rmse	X_Fvalue	X_pvalue	Y_Fvalue	Y_pvalue	Z_Fvalue	Z_pvalue	Mean_Fvalue	Mean_pvalue
Alar curvature left	0.172845528455285	0.530569105691057	0.597723577235774	0.433712737127372	0.046390107530946	0.13695020354218	0.125554400294692	0.102964903789273	11.0425720015678	0.00134458351192744	35.463062146087	6.60710346676277e-08	51.1242449330548	3.64679457491035e-10	59.6244205752697	2.83209171138424e-11
Alar curvature right	0.172357723577236	0.476422764227642	0.745691056910568	0.464823848238482	0.114425300584001	0.240757934862779	0.549768228422299	0.301650487956359	4.68161422675094	0.0334707269684397	9.17965930162016	0.00329501668285761	33.6410211393016	1.269860230269e-07	22.2346405099262	1.00611139861442e-05
Chelion left	0.841219512195122	0.419349593495935	0.513495934959349	0.591355013550135	0.498977588373102	0.144879859953301	0.203822993650676	0.282560147325693	5.55916834907131	0.0208268298984015	6.55404211400283	0.0123466407053889	4.2438649525453	0.0426435474791638	4.64532793239397	0.034144329016825
Chelion right	0.603739837398374	0.383577235772358	0.278780487804878	0.422032520325203	0.141287361202124	0.081509570931108	0.0474100609095834	0.0900689976809385	36.134140092704	5.20861617565783e-08	36.8235618781256	4.08580432387229e-08	11.5381361445118	0.00106447133450148	24.5101283924721	4.03036054781346e-06
Crista philtri left	0.730975609756098	0.648292682926829	0.267235772357723	0.548834688346883	0.673372255118694	0.676032006862928	0.267482249379998	0.538962170453873	22.1841540212235	1.02701561996184e-05	32.0376458446312	2.27806582791703e-07	0.632139444933605	0.428924208638459	29.1831887798755	6.59820549863271e-07
Crista philtri right	0.924308943089431	0.805772357723578	0.279512195121952	0.669864498644987	0.770926453253214	0.796479983317093	0.329886380539175	0.632430939036494	21.1578493394405	1.56408065138926e-05	17.3074401457209	7.94268426176186e-05	0.000113009508833297	0.991544639316903	18.1684693249114	5.4856848126642e-05
Endocanthion left	0.831788617886179	0.464715447154471	0.553983739837399	0.616829268292683	0.711159526263541	0.290912382180053	0.484525475307739	0.495532461250444	20.9140765617306	1.72970468892702e-05	6.8083614978404	0.0108259060711622	6.12012269583375	0.0154817464859225	14.1999557263234	0.000312971969632626
Endocanthion right	0.682845528455284	0.380243902439026	0.467560975609757	0.510216802168022	0.637437820427247	0.171786557584814	0.322969037361054	0.377397805124371	26.7345521838626	1.68427624964839e-06	13.8027356976631	0.000374540034160217	28.3520025551051	9.04535705083893e-07	28.4103236643097	8.84656978554165e-07
Exocanthion left	0.514065040650406	0.382520325203252	0.353333333333333	0.416639566395663	0.0550040525990223	0.207915726041476	0.0797524296502461	0.114224069430248	30.9195926309543	3.44279827819906e-07	23.9728936774609	4.99159926566908e-06	23.1587832260132	6.9194034000471e-06	47.7334262875474	1.06101824638303e-09
Exocanthion right	0.498373983739838	0.33569105691057	0.377317073170733	0.40379403794038	0.194442857095469	0.08216175878345	0.131221458101192	0.135942024660037	21.8815682230718	1.16201684831437e-05	22.4639784015913	9.16518619447508e-06	16.440860183132	0.000115757915966863	28.0099906626946	1.03071261608621e-06
