LM.Name	Aml_Bml_sdx	Aml_Bml_sdy	Aml_Bml_sdz	Aml_Bml_avg_sd
Alar curvature left	0.122220245268504	0.375169012522229	0.422654394738497	0.306681217509743
Alar curvature right	0.12187531513134	0.336881767297005	0.527283203011626	0.328680095146657
Chelion left	0.59483202153961	0.296524941248798	0.363096457721482	0.418151140169963
Chelion right	0.426908533096854	0.271230064523425	0.197127573389323	0.298422057003201
Crista philtri left	0.516877810540508	0.458412152291181	0.188964226809771	0.388084729880487
Crista philtri right	0.653585121569907	0.569767098239014	0.197644968595069	0.473665729467997
Endocanthion left	0.588163372221103	0.328603444005065	0.391725659106109	0.436164158444092
Endocanthion right	0.482844703673643	0.268873041919471	0.330615536471857	0.360777760688324
Exocanthion left	0.36349887621484	0.270482715892903	0.249844396019246	0.294608662708996
Exocanthion right	0.352403623469394	0.237369422725143	0.266803461096486	0.285525502430341
Glabella	0.417537931037227	0.691297483233189	0.253638627528053	0.454158013932823
Labiale inferius	0.535504037947373	0.846803486738036	0.374881570741258	0.585729698475556
Labiale superius	0.375169012522228	0.453353176946106	0.126934290476414	0.318485493314916
Nasion	0.389138683077377	0.815069914118932	0.277208853567604	0.493805816921304
Pogonion	0.710958501051548	0.757236627787741	0.32779860701835	0.598664578619213
Pronasale	0.289626338505515	0.492732700939016	0.214661522028501	0.332340187157677
Subalare left	0.476406007779912	0.255420766570068	0.46967987010521	0.400502214818397
Subalare right	0.497906652996479	0.314691261806111	0.472324334490136	0.428307416430909
Subnasale	0.176604230228055	0.552980498230358	0.314288843312752	0.347957857257055
