LM.Name	A_ml_sdx	A_ml_sdy	A_ml_sdz	B_ml_sdx	B_ml_sdy	B_ml_sdz
Alar curvature left	0.206850336435059	0.679486963624247	0.919561020694138	0.147146883171029	0.547178227543088	0.60738397251209
Alar curvature right	0.20762690977357	0.75026770139738	0.933316249677072	0.132686489544103	0.461172481262467	0.53794709286438
Chelion left	0.860127284157447	0.538553845243796	0.425465473288874	0.670336534608808	0.352722613775448	0.318399187269795
Chelion right	0.807411502028776	0.491723952497579	0.5015707770918	0.741165384457825	0.346466685122104	0.392419505511284
Crista philtri left	0.546095635037352	0.667595130838948	0.291249914858871	0.432702091172707	0.298378525241797	0.181241537770161
Crista philtri right	0.551766212164378	0.714631510492422	0.34089470725165	0.465435027303444	0.251996674267971	0.167130305774051
Endocanthion left	0.921869793409127	0.626936094498245	0.685180481678526	0.550594428481954	0.386067208360158	0.374866294917737
Endocanthion right	1.18791946909194	0.5002521539442	0.620906089245582	0.5617166994085	0.364702092177862	0.412074085081688
Exocanthion left	0.689933356110692	0.50577255518821	0.563101769170847	0.503221399682647	0.403897444254991	0.406930834217127
Exocanthion right	0.740209616964595	0.589684427523106	0.633008236943655	0.434633940285846	0.288194568348388	0.350730509000034
Glabella	0.562668551029062	0.865787361042285	0.299790203108204	0.453243275157772	1.16957091056699	0.4414071514195
Labiale inferius	0.521362457880183	0.609976192549736	0.378246087968413	0.418294540192306	0.33551776414546	0.198674432904422
Labiale superius	0.467331996364818	0.586115223328518	0.222830001850339	0.296765930083107	0.375703980513367	0.127447295964888
Nasion	0.330201254242147	0.932092153929118	0.347109873816332	0.313187363094592	0.847823510529306	0.459474473465004
Pogonion	0.646420608062098	1.27415859511519	0.541877265386711	0.62197635846849	1.15580974463514	0.4999839720493
Pronasale	0.418517365962156	0.710411863607249	0.249083800011806	0.299413918644004	0.442267047434209	0.205287572720146
Subalare left	0.552379005612478	0.362951113497515	0.589954116101383	0.515667556821287	0.30753712867611	0.455317551645987
Subalare right	0.576711197932465	0.314401024345049	0.573905918466629	0.64216348660369	0.321434838182277	0.490892482128526
Subnasale	0.37653471582807	0.652707781244143	0.321902680552685	0.334217139564648	0.719610121415138	0.354622869280962
