LM.Name	Aml_Aloo_rmsex	Aml_Aloo_rmsey	Aml_Aloo_rmsez	Aml_Aloo_avg_rmse	Aml_Bloo_rmsex	Aml_Bloo_rmsey	Aml_Bloo_rmsez	Aml_Bloo_avg_rmse	Aml_Cloo_rmsex	Aml_Cloo_rmsey	Aml_Cloo_rmsez	Aml_Cloo_avg_rmse	Bml_Bloo_rmsex	Bml_Bloo_rmsey	Bml_Bloo_rmsez	Bml_Bloo_avg_rmse	Bml_Aloo_rmsex	Bml_Aloo_rmsey	Bml_Aloo_rmsez	Bml_Aloo_avg_rmse	Bml_Cloo_rmsex	Bml_Cloo_rmsey	Bml_Cloo_rmsez	Bml_Cloo_avg_rmse	Cml_Cloo_rmsex	Cml_Cloo_rmsey	Cml_Cloo_rmsez	Cml_Cloo_avg_rmse	Cml_Aloo_rmsex	Cml_Aloo_rmsey	Cml_Aloo_rmsez	Cml_Aloo_avg_rmse	Cml_Bloo_rmsex	Cml_Bloo_rmsey	Cml_Bloo_rmsez	Cml_Bloo_avg_rmse	Aloo_Bloo_rmsex	Aloo_Bloo_rmsey	Aloo_Bloo_rmsez	Aloo_Bloo_avg_rmse	Aml_Bml_rmsex	Aml_Bml_rmsey	Aml_Bml_rmsez	Aml_Bml_avg_rmse
Alar curvature left	0.173826274684982	0.542687795093452	0.593680468270183	0.436731512682872	0.172690810663126	0.551127203043452	0.592526231904101	0.43878141520356	0.168382332072638	0.545008568600707	0.594231146533419	0.435874015735588	0.189989699623213	0.648441338152068	0.757600838912729	0.53201062556267	0.184637935897111	0.637507833925399	0.739300520016193	0.520482096612901	0.178935865616806	0.640069751644285	0.75323146719837	0.524079028153154	0.160545770032242	0.523263132344741	0.608501381513517	0.430770094630166	0.165965595723449	0.524860407337813	0.613026987200732	0.434617663420665	0.169619472721509	0.530630637068582	0.60297310931936	0.43440773970315	0.046390107530946	0.13695020354218	0.125554400294692	0.102964903789273	0.172845528455285	0.530569105691057	0.597723577235774	0.433712737127372
Alar curvature right	0.183985739480245	0.525085981974059	0.668196095819826	0.45908927242471	0.182292704935425	0.486700121028247	0.902089285586833	0.523694037183501	0.182850349691601	0.493441573988997	0.758246418458239	0.478179447379613	0.18199277630462	0.57997105183678	0.610821219009418	0.457595015716939	0.206878695218248	0.649970807875177	0.723409079922078	0.526752861005168	0.190602064217486	0.599396648475244	0.64156430972035	0.477187674137693	0.165263089975854	0.522077160106687	0.566067561043192	0.417802603708578	0.17634590355222	0.558777115141962	0.596021043289483	0.443714687327889	0.163017772107497	0.506771287943322	0.599721595768358	0.423170218606393	0.114425300584001	0.240757934862779	0.549768228422299	0.301650487956359	0.172357723577236	0.476422764227642	0.745691056910568	0.464823848238482
Chelion left	1.23037490614193	0.69989592245445	0.636374567166415	0.855548465254263	1.18977006206927	0.759389645762545	0.706569381199572	0.88524302967713	1.1985508758717	0.752842579714135	0.687924675387747	0.879772710324528	1.25675679115128	0.739040093142184	0.655588786042024	0.883795223445163	1.37327901321442	0.69662815286443	0.646932181180927	0.90561311575326	1.30677380387494	0.73131212033679	0.663008361065981	0.900364761759236	1.10608006190228	0.713055264245987	0.607653075106616	0.808929467084962	1.16824290976115	0.677269345580688	0.569835094081996	0.805115783141278	1.08551165279936	0.720837526575346	0.621480259971489	0.809276479782064	0.498977588373102	0.144879859953301	0.203822993650676	0.282560147325693	0.841219512195122	0.419349593495935	0.513495934959349	0.591355013550135
Chelion right	0.934501368021832	0.699369102591099	0.526860756098916	0.720243742237282	0.912951800525421	0.716683004925776	0.532514827455445	0.720716544302214	0.922551629123112	0.712291903491473	0.523239863767714	0.719361132127433	1.15440556543162	0.647218987782639	0.620124911527222	0.807249821580494	1.16046533746449	0.623333501933887	0.604484987801251	0.796094609066544	1.15089258397483	0.640273645826762	0.612082466273252	0.801082898691614	0.982171956327073	0.659998407828563	0.55393601585501	0.732035460003549	0.989295046075232	0.64754780162826	0.552133900859759	0.72965891618775	0.982077099231277	0.667418462622096	0.5639053993321	0.737800320395158	0.141287361202124	0.081509570931108	0.0474100609095834	0.0900689976809385	0.603739837398374	0.383577235772358	0.278780487804878	0.422032520325203
Crista philtri left	0.689304979707601	0.851504022757366	0.436166685768852	0.65899189607794	0.922168461413979	1.11515089765197	0.500991444626598	0.846103601230849	0.75063209601387	0.958252348836274	0.458937253941138	0.722607232930428	0.887940772690702	1.00546360807123	0.508010317431642	0.800471566064523	0.954765608931006	1.02719384319831	0.503921801097705	0.828627084409007	0.845227653500628	0.983433818309531	0.481433347993646	0.770031606601268	0.753737990414272	0.892735196179555	0.451451655123061	0.699308280572296	0.777207190310494	0.885252685239645	0.448527179820669	0.703662351790269	0.837333328861053	0.98607153220246	0.48603866712284	0.769814509395451	0.673372255118694	0.676032006862928	0.267482249379998	0.538962170453873	0.730975609756098	0.648292682926829	0.267235772357723	0.548834688346883
Crista philtri right	0.662398215839998	0.946100705655946	0.501879201422775	0.70345937430624	0.913574927990062	1.21017799983331	0.505209301309872	0.876320743044414	0.736591326558502	1.01713182235002	0.472658663157621	0.742127270688716	1.00020386870649	1.12838782793172	0.474555613255453	0.867715769964555	1.12874133090562	1.20446685739585	0.516815866487357	0.950008018262942	1.0103140743384	1.1194359438836	0.484395863473478	0.871381960565158	0.755600698880017	1.00045042454658	0.439500711020153	0.73185061148225	0.821313251775611	1.016933001322	0.475504416367438	0.771250223155015	0.825227296187524	1.10768882790897	0.455288375183452	0.796068166426649	0.770926453253214	0.796479983317093	0.329886380539175	0.632430939036494	0.924308943089431	0.805772357723578	0.279512195121952	0.669864498644987
Endocanthion left	0.835277973575486	0.63577378363572	0.532261397437555	0.667771051549587	1.11660750771069	0.678826800325823	0.551313610622373	0.78224930621963	0.932829718527627	0.640074680771523	0.480220582798099	0.684374994032416	0.834010270110008	0.616290162330101	0.421062284652442	0.623787572364184	0.98180407757851	0.588709317439125	0.649244181193615	0.739919192070417	0.848014781702792	0.568290600940455	0.499313212637574	0.638539531760274	0.775073740665802	0.543656988526989	0.400156955064238	0.57296256141901	0.810010162166859	0.539407910332054	0.537262072473391	0.628893381657435	0.916775093297423	0.590238482166485	0.395708078989592	0.6342405514845	0.711159526263541	0.290912382180053	0.484525475307739	0.495532461250444	0.831788617886179	0.464715447154471	0.553983739837399	0.616829268292683
Endocanthion right	1.05014880930053	0.739894903712419	0.618931397603607	0.802991703538853	1.18541373274604	0.801416666835234	0.715877720084564	0.900902706555281	1.07399908477526	0.782031250126204	0.647778755402483	0.834603030101316	1.09046552948403	0.624347610175176	0.450352561402029	0.721721900353744	1.13379329078662	0.556449566348996	0.488082891108607	0.726108582748074	1.06809621956591	0.607797401415529	0.434100532047865	0.7033313843431	1.0359986739899	0.65168142518323	0.502401471865215	0.730027190346116	1.05305772138953	0.601215731089673	0.50150494249165	0.718592798323617	1.09646806560205	0.67274735596894	0.555174138754402	0.774796520108464	0.637437820427247	0.171786557584814	0.322969037361054	0.377397805124371	0.682845528455284	0.380243902439026	0.467560975609757	0.510216802168022
Exocanthion left	0.923018232995196	0.784025394380628	0.909052670274392	0.872032099216739	0.918387542324166	0.823830330803489	0.885064918327854	0.87576093048517	0.922192632925591	0.807724861770315	0.888425249248273	0.87278091464806	0.966902999247941	0.746890815142718	0.88484250975223	0.86621210804763	0.964840166221233	0.720760218776616	0.914577901380632	0.866726095459494	0.967081984949834	0.734330546341542	0.889319428731805	0.863577320007727	0.908098824306129	0.736166625002308	0.876103372357887	0.840122940555442	0.907498950806839	0.706116824552752	0.900154461202946	0.837923412187512	0.906328273633271	0.761090967369066	0.872233503402894	0.846550914801743	0.0550040525990223	0.207915726041476	0.0797524296502461	0.114224069430248	0.514065040650406	0.382520325203252	0.353333333333333	0.416639566395663
Exocanthion right	0.933658913581602	0.672084796036191	0.931395069511039	0.845712926376277	0.952602729982235	0.670962098367005	0.927361899973899	0.850308909441047	0.9529908069417	0.668071792637333	0.937332669298889	0.852798422959307	0.983969178852318	0.676327642798265	0.966212351358998	0.875503057669861	0.976020238157344	0.688975591193814	0.969284912965183	0.878093580772114	0.98399794956948	0.680118517993427	0.971305011179525	0.878473826247477	0.9421096444507	0.65371245913208	0.945693160657886	0.847171754746889	0.932082514156967	0.654023732821484	0.942765069792056	0.842957105590169	0.942717148319469	0.655484152515448	0.935163573040783	0.844454957958567	0.194442857095469	0.08216175878345	0.131221458101192	0.135942024660037	0.498373983739838	0.33569105691057	0.377317073170733	0.40379403794038
Glabella	0.522291882156988	1.43408391558417	0.602811821889108	0.853062539876756	0.640077294647345	1.41717619926624	0.647722991437679	0.90165882845042	0.552327185558133	1.39605323574252	0.615493758143152	0.854624726481269	0.547572128136611	1.4594617373461	0.593835161614314	0.866956342365674	0.663140204257895	1.55790014238072	0.569614069253535	0.930218138630718	0.577353525270117	1.49589402840572	0.573193979040943	0.88214717757226	0.480557823086614	1.30532836603719	0.558334363909085	0.781406851010963	0.518728203963582	1.34910295056368	0.556519543137852	0.808116899221705	0.523858796154471	1.2984155770801	0.583212055642859	0.801828809625811	0.504783276766446	0.53127148499317	0.210514069254809	0.415522943671475	0.590487804878049	0.977642276422763	0.35869918699187	0.642276422764227
Labiale inferius	0.522389660845887	0.75142769388331	0.558340060021212	0.610719138250136	0.764149505835167	1.45158386319724	0.721260649320553	0.978998006117653	0.58416799568759	1.02302706709417	0.631020416320569	0.746071826367442	0.500542501348655	0.710103836780038	0.375151700203366	0.528599346110686	0.793222639279971	1.2608438449565	0.571803265123863	0.875289916453444	0.539730362612784	0.846575905523137	0.429342693982859	0.60521632070626	0.456036691795266	0.721645884175086	0.475578171431852	0.551086915800735	0.527408799128218	0.846384333125311	0.514760011792401	0.629517714681977	0.54968024818834	0.939304218521029	0.51326909664612	0.667417854451829	0.704787751304226	1.24522160863597	0.499310071591721	0.816439810510639	0.757317073170732	1.19756097560976	0.530162601626016	0.828346883468835
Labiale superius	0.572601225902969	0.722806709361715	0.312304875274824	0.535904270179836	0.69878348877087	0.984105604846965	0.429251089035461	0.704046727551099	0.641132557548079	0.799533065094029	0.351817188730403	0.597494270457503	0.590940091429361	0.983879861652643	0.366904831288998	0.647241594790334	0.731336680954937	1.0140352002066	0.333681950507466	0.693017943889669	0.618606567093831	0.927089587553107	0.333183396229569	0.626293183625502	0.588731783866709	0.805535936774408	0.331942083041362	0.57540326789416	0.603572643149129	0.822143409064054	0.308920535796867	0.57821219600335	0.5930103521717	0.928030960609733	0.388764679804076	0.636601997528503	0.503399340083189	0.633643673882278	0.25831561055552	0.465119541506996	0.530569105691057	0.641138211382113	0.179512195121951	0.45040650406504
Nasion	0.365674308748225	1.09778147333039	0.514229808923318	0.659228530333977	0.537020467438555	1.26061694960288	0.53957062495792	0.779069347333119	0.380905334931383	1.15252323179052	0.513822222639061	0.682416929786986	0.419804913473847	1.0392751239553	0.481133177007157	0.646737738145435	0.553410651058578	1.32213756086245	0.556387392268934	0.810645201396654	0.460481436326188	1.11587063834175	0.499408406618452	0.691920160428796	0.354315113251027	0.973224442791211	0.474766160161949	0.600768572068063	0.400391450308775	1.01576593661296	0.475094712767086	0.630417366562939	0.390868494985826	0.993304194317365	0.484063229479305	0.622745306260832	0.440389619579655	0.736395883747748	0.312874322266704	0.496553275198036	0.550325203252033	1.15268292682927	0.392032520325202	0.698346883468834
Pogonion	0.483860153559613	1.08240257602197	0.449156821889257	0.671806517156948	0.919513090929651	1.10326250793824	0.477606388603741	0.833460662490544	0.611291773732981	1.08575699424104	0.462120752410808	0.719723173461609	0.541885746243119	1.12148303308265	0.419763694406031	0.694377491243934	0.96828056693002	1.20430967255971	0.42237517134373	0.864988470277819	0.670915468021538	1.13222488568282	0.416113084834527	0.739751146179627	0.431281612301785	1.00091478013926	0.379096695674795	0.603764362705278	0.559383445856726	0.993527712463944	0.366160406064581	0.63969052146175	0.568080140321149	1.01840376684969	0.390867807802653	0.659117238324498	0.879498802869248	0.418277495339987	0.17798381377661	0.491920037328615	1.00544715447155	1.07089430894309	0.463577235772359	0.846639566395665
Pronasale	0.439907340256546	0.714842251782789	0.325427586892931	0.493392392977422	0.521756529493187	0.803348783243671	0.419877906474085	0.581661073070315	0.466318853694923	0.721853009199871	0.362067882935851	0.516746581943548	0.451457512401342	0.572568452867288	0.283649943708066	0.435891969658898	0.506275746485179	0.74073985373513	0.26895485751918	0.505323485913163	0.460771555050958	0.626670069076848	0.273309155302813	0.453583593143539	0.398714709198712	0.560601985735022	0.282724781515834	0.414013825483189	0.419240066258079	0.652528840382569	0.266768966830758	0.446179291157135	0.444203174146345	0.573096896161118	0.314266269414834	0.443855446574099	0.326326091455707	0.46702105800637	0.214583787393009	0.335976978951695	0.40959349593496	0.696829268292683	0.303577235772357	0.47
