Aml_Aloo_avg_rmse	Aml_Bloo_avg_rmse	Aml_Cloo_avg_rmse	Bml_Aloo_avg_rmse	Bml_Bloo_avg_rmse	Bml_Cloo_avg_rmse	Cml_Aloo_avg_rmse	Cml_Bloo_avg_rmse	Cml_Cloo_avg_rmse	Aloo_Bloo_avg_rmse
Glabella_F	2.72634895030357	9.41308647212472	6.71464152042724	3.01378847959368	2.62674368549144	2.54079726271434	3.42319807503777	4.89196778940446	3.30933827895802	41.5866054125866
Glabella_p	0.102625174852321	0.00294005060316869	0.0113620867594946	0.086409025508601	0.109012277559632	0.114882248213701	0.0679784037289071	0.0298347065833129	0.0726287997936417	7.95263138189532e-09
Nasion_F	0.44870326614492	0.18500706557005	0.427335298089641	0.0499209622046788	0.0519329403411861	0.0737123120978445	0.107540782807621	0.316513577792981	1.12234767294793	87.7550067435718
Nasion_p	0.504880297582429	0.66826155486521	0.515174022646228	0.823770414571914	0.820314754903561	0.786705792448781	0.743818193338492	0.575283618613172	0.292601700291363	1.66577129150011e-14
Pronasale_F	0.792717317747196	2.02202491556195	1.8214586994671	0.286444722544271	0.589986854652563	1.17780699405763	0.110847074038341	0.0902537017036005	0.018578564922869	38.2427843978979
Pronasale_p	0.375949499599354	0.158919404280774	0.180946569620994	0.593992545050136	0.444685605809453	0.281062482562395	0.74005274215211	0.764634190568453	0.891924005916034	2.4905815160995e-08
Subnasale_F	8.87060765962126	1.63880011287274	4.84737231515809	0.243516090015881	1.42236568506606	0.404197731531259	4.34602156724262	5.08160164309606	6.20452852838412	42.6475648595899
Subnasale_p	0.00383478760396768	0.204189774346539	0.0305688394661656	0.623030080761478	0.236539811106282	0.526743874226009	0.0402852586954357	0.0269159052462318	0.0148120409326481	5.57478374418883e-09
Labiale superius_F	1.90154423607679	2.57002870958254	1.12082232873674	5.46597903511494	5.88566607658476	3.65554006952125	2.28568382775858	3.6342270472874	3.04605292571665	2.42126929640544
Labiale superius_p	0.171748921513216	0.112846937235197	0.292927629966579	0.021889077397301	0.0175146888541215	0.059463171006219	0.134512933849133	0.0601938207160149	0.0847732906334432	0.123645321098327
Labiale inferius_F	0.716844856081043	8.20670070379829	3.36160337283078	3.65103470269485	0.616782230547206	1.22974818982227	0.507814852322128	1.68617802588185	0.935706030881825	26.3847365750623
Labiale inferius_p	0.399706442918858	0.00532911150084165	0.0704523814406255	0.0596168179041523	0.434565306654332	0.270778609044332	0.478159658745262	0.197836297089448	0.336299882504647	1.92934071469544e-06
Pogonion_F	0.29439280449195	0.174816989965439	0.000616773492582434	0.130638673545675	0.00875048890793336	0.00241927220468566	1.40919451986394	0.732356558541754	2.29769886098527	23.992691742556
Pogonion_p	0.588927549468761	0.676986008233403	0.980248477527817	0.71872359380319	0.925705239540224	0.960893583322449	0.238703171814302	0.39467631908342	0.133507326666483	4.95229572533227e-06
Endocanthion left_F	2.36622915402979	2.69428937467835	2.48928660837797	1.08721591207674	0.184442864536638	0.202314287410642	0.22476363803944	0.281349220074225	0.24359320087268	14.1999557263234
Endocanthion left_p	0.127932305327194	0.104634207843408	0.11856996211053	0.300229634838682	0.668737062014024	0.65407566728135	0.63672541483985	0.597287559706313	0.62297513891007	0.000312971969632628
Endocanthion right_F	11.278293603889	9.04238967559087	9.87400871299064	8.24781104861937	6.8580786771002	5.16365315087842	7.56621869750606	9.93312723233037	8.80684820372625	28.4103236643096
Endocanthion right_p	0.0012028908492407	0.00352429200906671	0.00235093493408818	0.00522093886319948	0.0105523000136899	0.0257484040662895	0.00735241344305515	0.00228477789712238	0.00395715701540183	8.84656978554179e-07
